"head__totalCount","head__numOfRows","head__pageNo","head__type","head__RESULT__resultCode","head__RESULT__resultMsg","row__restSeqNo","row__year","row__areaCd","row__equptype","row__restname","row__restaddr","row__creDttm","row__updtDttm","row__useYn","row__areaNm","row__operBeginDe","row__operEndDe","row__ar","row__usePsblNmpr","row__colrHoldElefn","row__colrHoldArcndtn","row__chckMatterNightOpnAt","row__chckMatterWkendHdayOpnAt","row__chckMatterStayngPsblAt","row__rm","row__dtlAdres","row__mngdpt_cd","row__mngdptCd","row__xcord","row__ycord","row__la","row__lo"
"64348","1000","1","XML","INFO-0","NOMAL SERVICE","47900081","2023","4790034000","001","덕율3리경로당","경상북도 예천군 감천면 만맛길 43-10","2021-03-10 18:10:16","2023-07-14 18:56:45","Y","경상북도 예천군 감천면","20230520","20230930","92","23","1","1","Y","Y","N","null","385-1","5230088","054-650-6332","0E-8","0E-8","36.71213300","128.50509800"
"","","","","","","2917000524","2023","2917066100","008","문화동 광주은행","null","2021-05-29 13:57:39","2023-05-31 15:35:04","Y","광주광역시 북구 두암1동","20200529","20200930","300","75","0","1","N","N","N","null","859-11","3620181","null","0E-8","0E-8","35.17326850","126.92581770"
"","","","","","","48250371","2023","4825060000","001","선암마을 노인정","경상남도 김해시 식만로 389-5","2021-03-18 18:37:47","2023-06-13 09:30:08","Y","경상남도 김해시 불암동","20230520","20230930","60","15","2","2","Y","Y","N","null","220-259","5350344","null","0E-8","0E-8","35.22241530","128.92597490"
"","","","","","","48250370","2023","4825060000","001","양장골마을 노인정","경상남도 김해시 김해대로2761번길 13","2021-03-18 18:37:47","2023-06-13 09:30:08","Y","경상남도 김해시 불암동","20230520","20230930","55","13","2","2","Y","Y","N","null","65-20","5350344","null","0E-8","0E-8","35.22510100","128.92754520"
"","","","","","","4888000559","2023","4888039000","011","양지쉼터","경상남도 거창군 신원면 양지1길 12","2023-06-20 10:56:19","2023-06-20 10:56:19","Y","경상남도 거창군 신원면","null","null","20","10","0","0","null","null","null","null","283-3","5470039","null","1041524.90789400","1732191.08120900","35.58490050","127.95834300"
"","","","","","","4888000565","2023","4888039000","014","신기쉼터","경상남도 거창군 신원면 지리재길 4","2023-06-20 11:34:39","2023-06-20 11:34:39","Y","경상남도 거창군 신원면","null","null","15","7","0","0","null","null","null","null","277-0","5470039","null","1041451.46808300","1730370.99266300","35.56849320","127.95743910"
"","","","","","","4888000563","2023","4888039025","014","상감악쉼터","null","2023-06-20 11:31:12","2023-06-20 11:31:12","Y","경상남도 거창군 신원면 구사리","null","null","15","8","0","0","null","null","null","null","838-0","5470039","null","1040715.95680200","1731919.04693500","35.58248140","127.94940050"
"","","","","","","4691001029","2023","4691041000","001","거문 경로당","전라남도 신안군 팔금면 이목거문길 200","2023-06-22 14:44:09","2023-06-22 14:44:09","Y","전라남도 신안군 팔금면","20230701","20230930","94","27","1","1","Y","Y","null","null","498-0","5010344","061-240-8903","876621.30740300","1646602.05614400","34.80652720","126.15114030"
"","","","","","","4413300119","2023","4413358000","001","두정역범양레우스알파 경로당","충청남도 천안시 서북구 두정공원2길 26 (두정동, 두정역범양레우스 알파)","2023-05-23 17:16:55","2023-06-22 11:54:08","Y","충청남도 천안시 서북구 부성1동","20230520","20230930","145","24","0","3","null","null","null","null","399-1","5660025","041-521-6649","0E-8","0E-8","36.83570000","127.15590000"
"","","","","","","4136000606","2023","4136057000","001","별내효성해링턴코트","경기도 남양주시 별내3로 183 (별내동)","2023-07-07 20:53:49","2023-07-07 20:53:49","Y","경기도 남양주시 별내동","20230520","20230930","117","24","0","4","null","null","null","null","919-0","3990481","null","966779.57403800","1961786.20838100","37.65497160","127.12338210"
